accession.mi	accession.mimat
MI0000433	MIMAT0000414
MI0000434	MIMAT0000415
MI0000437	MIMAT0000416
MI0000438	MIMAT0000417
MI0000439	MIMAT0004587
MI0000440	MIMAT0004588
MI0000441	MIMAT0000420
MI0000442	MIMAT0000421
MI0000443	MIMAT0004591
MI0000444	MIMAT0004591
MI0000445	MIMAT0004591
MI0000446	MIMAT0000423
MI0000447	MIMAT0026477
MI0000448	MIMAT0004593
MI0000449	MIMAT0004594
MI0000450	MIMAT0026478
MI0000451	MIMAT0026478
MI0000452	MIMAT0000428
MI0000453	MIMAT0000428
MI0000454	MIMAT0000429
MI0000455	MIMAT0000430
MI0000456	MIMAT0000431
MI0000457	MIMAT0004598
MI0000458	MIMAT0000433
MI0000459	MIMAT0004599
MI0000460	MIMAT0004600
MI0000461	MIMAT0000437
MI0000462	MIMAT0026479
MI0000463	MIMAT0000439
MI0000464	MIMAT0026480
MI0000465	MIMAT0000440
MI0000466	MIMAT0000441
MI0000467	MIMAT0000441
MI0000468	MIMAT0000441
MI0000469	MIMAT0000443
MI0000470	MIMAT0000423
MI0000471	MIMAT0000444
MI0000472	MIMAT0004604
MI0000473	MIMAT0000242
MI0000474	MIMAT0000447
MI0000475	MIMAT0000448
MI0000476	MIMAT0000430
MI0000477	MIMAT0000449
MI0000478	MIMAT0000450
MI0000479	MIMAT0000451
MI0000480	MIMAT0000452
MI0000481	MIMAT0000454
MI0000482	MIMAT0000455
MI0000483	MIMAT0000456
MI0000484	MIMAT0000457
MI0000486	MIMAT0000458
MI0000487	MIMAT0004614
MI0000488	MIMAT0000460
MI0000489	MIMAT0000461
MI0000490	MIMAT0000462
MI0000491	MIMAT0000463
MI0000492	MIMAT0000464
MI0000493	MIMAT0000465
MI0000494	MIMAT0000466
MI0000495	MIMAT0000467
MI0000496	MIMAT0000468
MI0000497	MIMAT0000469
MI0000498	MIMAT0000470
MI0000499	MIMAT0000470
MI0000500	MIMAT0000471
MI0000501	MIMAT0000472
MI0000502	MIMAT0000473
MI0000503	MIMAT0000474
MI0000504	MIMAT0000475
MI0000505	MIMAT0000476
MI0000507	MIMAT0000477
MI0000508	MIMAT0000478
MI0000509	MIMAT0000479
MI0000510	MIMAT0000480
MI0000511	MIMAT0000481
MI0000512	MIMAT0000482
MI0000513	MIMAT0000483
MI0000514	MIMAT0000484
MI0000515	MIMAT0000485
MI0000517	MIMAT0000486
MI0000518	MIMAT0000487
MI0000519	MIMAT0000488
MI0000520	MIMAT0000489
MI0000521	MIMAT0000490
MI0000522	MIMAT0000491
MI0000523	MIMAT0000492
MI0000524	MIMAT0000493
MI0000525	MIMAT0000494
MI0000526	MIMAT0000495
MI0000527	MIMAT0000496
MI0000528	MIMAT0000497
MI0000530	MIMAT0000498
MI0000531	MIMAT0000499
MI0000532	MIMAT0000500
MI0000533	MIMAT0000501
MI0000534	MIMAT0000502
MI0000535	MIMAT0000503
MI0000536	MIMAT0000504
MI0000537	MIMAT0000505
MI0000538	MIMAT0000506
